Name,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Parent_Company_HQ,Manufacturer_Type
Mitsubishi Eclipse Cross,SUV,"Front, AWD",5,1.5,152,173,71,67,105,3515,22.5,24,23595,Japan,Foreign
Mitsubishi Mirage,SUV,Front,5,1.2,78,149,66,59,97,2085,17,37,13795,Japan,Foreign
Mitsubishi Outlander,SUV,"Front, AWD",7,2,197,185,71,66,105,3610,32.5,24,24695,Japan,Foreign
Mitsubishi Outlander Sport,SUV,"Front, AWD",5,2,148,169,70,64,105,3290,25.5,26,20945,Japan,Foreign
Nissan Altima,Sedan,"Front, AWD",5,2,248,193,73,57,111,3240,15,31,24000,Japan,Foreign
Nissan Armada,SUV,"Rear, 4WD",7,5.6,390,209,80,76,121,5910,47,14,47100,Japan,Foreign
Nissan Kicks,Wagon,Front,5,1.6,125,169,69,62,103,2630,25,32,18640,Japan,Foreign
Nissan Leaf,Hatchback,Front,5,NA,147,176,71,61,106,3440,24,112,29690,Japan,Foreign
Nissan Maxima,Sedan,Front,5,3.5,300,193,73,57,109,3535,14,25,34050,Japan,Foreign
Nissan Murano,SUV,"Front, AWD",5,3.5,260,192,75,67,111,4025,33.5,21,31370,Japan,Foreign
Nissan Pathfinder,SUV,"Front, AWD",7,3.5,284,199,77,70,114,4505,39.5,18,31530,Japan,Foreign
Nissan Rogue,SUV,"Front, AWD",5,2.5,170,185,72,66,107,3590,31.5,24,25020,Japan,Foreign
Nissan Rogue Sport,SUV,"Front, AWD",5,2,141,172,72,63,104,3365,24.5,26,22340,Japan,Foreign
Nissan Sentra,Sedan,Front,5,1.6,188,182,69,59,106,2865,15,31,17890,Japan,Foreign
Nissan Versa,Sedan,Front,5,1.6,122,175,67,60,102,2494,38.3,34,14730,Japan,Foreign
Nissan Z,Coupe,Rear,2,3.7,322,167,73,52,100,3385,7,23,34040,Japan,Foreign
Porsche 718 Boxster,Convertible,Rear,2,2,300,172,71,50,97,3150,4,26,59000,Germany,Foreign
Porsche 718 Cayman,Coupe,Rear,2,2,300,172,71,51,97,3055,10,24,56900,Germany,Foreign
Porsche 911,Coupe,"Rear, AWD",4,3,443,178,73,51,97,3380,5,23,113000,Germany,Foreign
Porsche Cayenne,SUV,AWD,5,2.9,434,194,78,67,114,4680,32,21,65700,Germany,Foreign
Porsche Macan,SUV,AWD,5,2,248,185,76,64,111,4410,29,19,49900,Germany,Foreign
Porsche Panamera,Hatchback,"Rear, AWD",4,2.9,440,199,76,56,116,4125,17,23,86300,Germany,Foreign
Subaru Accent,SUV,AWD,7,2.4,260,197,76,72,114,4550,40.5,22,31995,Japan,Foreign
Subaru BRZ,Coupe,Rear,4,2,200,167,70,51,101,2770,7,30,25795,Japan,Foreign
Subaru Crosstrek,SUV,AWD,5,2,148,176,71,64,105,3190,27.5,29,21895,Japan,Foreign
Subaru Forester,SUV,AWD,5,2.5,182,182,72,68,108,3485,36.5,28,24295,Japan,Foreign
Subaru Impreza,Sedan,AWD,5,2,152,182,70,57,105,2085,12,30,18595,Japan,Foreign
Subaru Legacy,Sedan,AWD,5,2.4,260,189,72,59,108,3499,15,31,24000,Japan,Foreign
Subaru Outback,Wagon,AWD,5,2.4,260,191,73,66,108,3634,32.5,29,26000,Japan,Foreign
Subaru WRX,Sedan,AWD,5,2,268,180,69,58,103,3320,11,26,27195,Japan,Foreign
Toyota 4Runner,SUV,"Rear, AWD",7,4,270,190,76,72,110,4665,44.5,18,35310,Japan,Foreign
Toyota 86,Coupe,Rear,4,4,205,167,70,51,101,2770,7,30,26655,Japan,Foreign
Toyota Avalon,Sedan,Front,5,2.5,215,196,73,57,113,3680,16,42,35650,Japan,Foreign
Toyota Camry,Sedan,Front,5,2.5,203,192,72,57,111,3340,15,32,24095,Japan,Foreign
Toyota C-HR,Wagon,Front,5,2,144,171,71,62,104,3290,19.5,39,21145,Japan,Foreign
Toyota Corolla,Sedan,Front,5,1.8,121,183,70,57,106,2960,13,32,19500,Japan,Foreign
