x,f(x),evenly_spaced_n10,evenly_spaced_n10_absolute_error,chebyshev_n10,chebyshev_n10_absolute_error,evenly_spaced_n20,evenly_spaced_n20_absolute_error,chebyshev_n20,chebyshev_n20_absolute_error
-1.400000000000000133e-01,1.150273798857227359e+00,1.121955146069614218e+00,2.831865278761314109e-02,1.097713099446182339e+00,5.256069941104501986e-02,1.161731264666159946e+00,1.145746580893258759e-02,1.146600496098971744e+00,3.673302758255614364e-03
-1.300000000000000044e-01,1.138828383324621774e+00,1.106813581966675120e+00,3.201480135794665394e-02,1.085027984092397535e+00,5.380039923222423859e-02,1.148860872915141274e+00,1.003248959051949996e-02,1.130894770453248377e+00,7.933612871373396658e-03
-1.199999999999999956e-01,1.127496851579375736e+00,1.092343475784690598e+00,3.515337579468513773e-02,1.073068575134145108e+00,5.442827644523062780e-02,1.135034651289423380e+00,7.537799710047643487e-03,1.115253923808424696e+00,1.224292777095103979e-02
-1.099999999999999867e-01,1.116278070458871285e+00,1.078638990301788336e+00,3.763908015708294919e-02,1.061881196016031925e+00,5.439687444283936024e-02,1.120396162976088572e+00,4.118092517217286641e-03,1.099857084182255473e+00,1.642098627661581212e-02
-9.999999999999997780e-02,1.105170918075647490e+00,1.065790542575375310e+00,3.938037550027218003e-02,1.051509659879248826e+00,5.366125819639866457e-02,1.105170918075647490e+00,0.000000000000000000e+00,1.084895581134190490e+00,2.027533694145700061e-02
-8.999999999999996891e-02,1.094174283705210415e+00,1.053883914455709947e+00,4.029036924950046838e-02,1.041994983785472728e+00,5.217929991973768722e-02,1.089656576093961826e+00,4.517707611248589217e-03,1.070568101561340857e+00,2.360618214386955849e-02
-7.999999999999996003e-02,1.083287067674958415e+00,1.042999415800522689e+00,4.028765187443572593e-02,1.033375122139263080e+00,4.991194553569533454e-02,1.074209041388460850e+00,9.078026286497564712e-03,1.057075556595505450e+00,2.621151107945296488e-02
-6.999999999999995115e-02,1.072508181254216320e+00,1.033211106931251289e+00,3.929707432296503100e-02,1.025684720817587436e+00,4.682346043662888313e-02,1.059225242507797926e+00,1.328293874641839345e-02,1.044615811764426860e+00,2.789236948978945918e-02
-5.999999999999994227e-02,1.061836546545359639e+00,1.024586086334700719e+00,3.725046021065891999e-02,1.018954893386992078e+00,4.288165315836756086e-02,1.045123549403607077e+00,1.671299714175256135e-02,1.033378436592456096e+00,2.845810995290354306e-02
-4.999999999999993339e-02,1.051271096376023895e+00,1.017183849051357392e+00,3.408724732466650309e-02,1.013213020656175578e+00,3.805807571984831661e-02,1.032322893582148904e+00,1.894820279387499085e-02,1.023539629139815554e+00,2.773146723620834031e-02
-4.000000000000003553e-02,1.040810774192388211e+00,1.011055720605877228e+00,2.975505358651098220e-02,1.008482574674762322e+00,3.232819951762588850e-02,1.021221711282255251e+00,1.958906291013295942e-02,1.015257465674448634e+00,2.555330851793957692e-02
-3.000000000000002665e-02,1.030454533953516938e+00,1.006244370729143522e+00,2.421016322437341550e-02,1.004782968148440148e+00,2.567156580507679031e-02,1.012177827252708662e+00,1.827670670080827620e-02,1.008667615924639049e+00,2.178691802887788853e-02
-2.000000000000001776e-02,1.020201340026755776e+00,1.002783410497461780e+00,1.741792952929399618e-02,1.002129430096772023e+00,1.807190992998375378e-02,1.005490337845600379e+00,1.471100218115539704e-02,1.003879650486120712e+00,1.632168954063506483e-02
-1.000000000000000888e-02,1.010050167084168171e+00,1.000697075875679465e+00,9.353091208488706343e-03,1.000532908433450219e+00,9.517258650717952406e-03,1.001384440668281250e+00,8.665726415886920719e-03,1.000974049379605768e+00,9.076117704562403077e-03
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000888e-02,1.010050167084168171e+00,1.000697075875679465e+00,9.353091208488706343e-03,1.000532908433450219e+00,9.517258650717952406e-03,1.001384440668281028e+00,8.665726415887142764e-03,1.000974049379605546e+00,9.076117704562625121e-03
2.000000000000001776e-02,1.020201340026755776e+00,1.002783410497461558e+00,1.741792952929421823e-02,1.002129430096772245e+00,1.807190992998353174e-02,1.005490337845600601e+00,1.471100218115517499e-02,1.003879650486120712e+00,1.632168954063506483e-02
3.000000000000002665e-02,1.030454533953516938e+00,1.006244370729143300e+00,2.421016322437363755e-02,1.004782968148440592e+00,2.567156580507634622e-02,1.012177827252708662e+00,1.827670670080827620e-02,1.008667615924638827e+00,2.178691802887811058e-02
4.000000000000003553e-02,1.040810774192388211e+00,1.011055720605876784e+00,2.975505358651142629e-02,1.008482574674762322e+00,3.232819951762588850e-02,1.021221711282255251e+00,1.958906291013295942e-02,1.015257465674448856e+00,2.555330851793935487e-02
5.000000000000004441e-02,1.051271096376024117e+00,1.017183849051357392e+00,3.408724732466672513e-02,1.013213020656175356e+00,3.805807571984876070e-02,1.032322893582148904e+00,1.894820279387521289e-02,1.023539629139815554e+00,2.773146723620856235e-02
6.000000000000005329e-02,1.061836546545359639e+00,1.024586086334701163e+00,3.725046021065847590e-02,1.018954893386992078e+00,4.288165315836756086e-02,1.045123549403607521e+00,1.671299714175211726e-02,1.033378436592456096e+00,2.845810995290354306e-02
7.000000000000006217e-02,1.072508181254216542e+00,1.033211106931251289e+00,3.929707432296525305e-02,1.025684720817587436e+00,4.682346043662910517e-02,1.059225242507797926e+00,1.328293874641861549e-02,1.044615811764427304e+00,2.789236948978923714e-02
8.000000000000007105e-02,1.083287067674958637e+00,1.042999415800522689e+00,4.028765187443594797e-02,1.033375122139263302e+00,4.991194553569533454e-02,1.074209041388461072e+00,9.078026286497564712e-03,1.057075556595505672e+00,2.621151107945296488e-02
9.000000000000007994e-02,1.094174283705210415e+00,1.053883914455709947e+00,4.029036924950046838e-02,1.041994983785472950e+00,5.217929991973746517e-02,1.089656576093962270e+00,4.517707611248145128e-03,1.070568101561341079e+00,2.360618214386933644e-02
1.000000000000000888e-01,1.105170918075647712e+00,1.065790542575375532e+00,3.938037550027218003e-02,1.051509659879249270e+00,5.366125819639844252e-02,1.105170918075647712e+00,0.000000000000000000e+00,1.084895581134190712e+00,2.027533694145700061e-02
